"profileId","speciesId","birdName","latinBirdName","recDate","countryId","country","location","latitude","longitude","recMap"
"4347","562","Meadow Pipit","Anthus pratensis","","","","","","",""
"4347","563","Red-throated Pipit","Anthus cervinus","","","","","","",""
"4347","564","Eurasian Rock Pipit","Anthus petrosus","","","","","","",""
"4347","565","Water Pipit","Anthus spinoletta","","","","","","",""
"4347","567","Western Yellow Wagtail","Motacilla flava","","","","","","",""
"4347","569","Grey Wagtail","Motacilla cinerea","","","","","","",""
"4347","570","White Wagtail","Motacilla alba","","","","","","",""
"4347","575","Bohemian Waxwing","Bombycilla garrulus","","","","","","",""
"4347","578","White-throated Dipper","Cinclus cinclus","","","","","","",""
"4347","579","Eurasian Wren","Troglodytes troglodytes","","","","","","",""
"4347","583","Dunnock","Prunella modularis","","","","","","",""
"4347","584","Siberian Accentor","Prunella montanella","2016-11-13","1","Denmark","Hirtshals Havn","57.598335","9.926748","http://maps.google.co.uk/maps?q=loc:57.598335, 9.926748(Siberian Accentor)&z=7&iwloc=A"
"4347","587","Alpine Accentor","Prunella collaris","","","","","","",""
"4347","590","European Robin","Erithacus rubecula","","","","","","",""
"4347","591","Thrush Nightingale","Luscinia luscinia","","","","","","",""
"4347","592","Common Nightingale","Luscinia megarhynchos","","","","","","",""
"4347","594","Bluethroat","Luscinia svecica","","","","","","",""
"4347","599","Black Redstart","Phoenicurus ochruros","","","","","","",""
"4347","600","Common Redstart","Phoenicurus phoenicurus","","","","","","",""
"4347","604","Whinchat","Saxicola rubetra","","","","","","",""
"4347","606","European Stonechat","Saxicola torquatus","","","","","","",""
"4347","1119","Siberian Stonechat","Saxicola maurus","","","","","","",""
"4347","609","Isabelline Wheatear","Oenanthe isabellina","","","","","","",""
"4347","610","Northern Wheatear","Oenanthe oenanthe","","","","","","",""
"4347","611","Pied Wheatear","Oenanthe pleschanka","","","","","","",""
"4347","614","Finsch's Wheatear","Oenanthe finschii","","","","","","",""
"4347","624","Blue Rock Thrush","Monticola solitarius","","","","","","",""
"4347","634","Ring Ouzel","Turdus torquatus","","","","","","",""
"4347","635","Common Blackbird","Turdus merula","","","","","","",""
"4347","638","Black-throated Thrush","Turdus atrogularis","","","","","","",""
"4347","639","Fieldfare","Turdus pilaris","","","","","","",""
"4347","640","Song Thrush","Turdus philomelos","","","","","","",""
"4347","641","Redwing","Turdus iliacus","","","","","","",""
"4347","642","Mistle Thrush","Turdus viscivorus","","","","","","",""
"4347","644","Cetti's Warbler","Cettia cetti","","","","","","",""
