"profile id","species id","bird name","latin bird name","date","location","latitude","longitude","map"
"195","553","Bysvale","Delichon urbicum","","","","",""
"195","554","Storpiber","Anthus richardi","2012-01-07","Rørvig","","",""
"195","556","Markpiber","Anthus campestris","","","","",""
"195","560","Skovpiber","Anthus trivialis","","","","",""
"195","562","Engpiber","Anthus pratensis","","","","",""
"195","563","Rødstrubet Piber","Anthus cervinus","2017-05-22","Skagen","","",""
"195","564","Skærpiber","Anthus petrosus","1988-09-02","Hirtshals havn","","",""
"195","565","Bjergpiber","Anthus spinoletta","","","","",""
"195","567","Gul Vipstjert","Motacilla flava","","","","",""
"195","569","Bjergvipstjert","Motacilla cinerea","","","","",""
"195","570","Hvid Vipstjert","Motacilla alba","","","","",""
"195","575","Silkehale","Bombycilla garrulus","1984-12-04","Aktuelt, Hillerød, Nordsj, S (120 stk.)","","",""
"195","578","Vandstær","Cinclus cinclus","1985-01-21","Rådvad","","",""
"195","579","Gærdesmutte","Troglodytes troglodytes","","","","",""
"195","583","Jernspurv","Prunella modularis","","","","",""
"195","590","Rødhals","Erithacus rubecula","","","","",""
"195","591","Nattergal","Luscinia luscinia","","","","",""
"195","594","Blåhals","Luscinia svecica","1988-05-15","Gilbjerg Hoved, S","","",""
"195","599","Husrødstjert","Phoenicurus ochruros","1986-04-19","Ulvshale, Møn","","",""
"195","600","Rødstjert","Phoenicurus phoenicurus","","","","",""
"195","604","Bynkefugl","Saxicola rubetra","1984-05-24","Vaserne, Nordsj.","","",""
"195","606","Sortstrubet Bynkefugl","Saxicola torquatus","2001-09-15","Bulbjerg - Viborg Amt","","",""
"195","610","Stenpikker","Oenanthe oenanthe","1986-04-16","Jægersborg Dyrehave, S","","",""
"195","634","Ringdrossel","Turdus torquatus","1986-04-26","Mandemarke, Møn","","",""
"195","635","Solsort","Turdus merula","","","","",""
"195","638","Sortstrubet Drossel","Turdus atrogularis","2007-02-17","Fælledparken, Kbh","","",""
"195","639","Sjagger","Turdus pilaris","","","","",""
"195","640","Sangdrossel","Turdus philomelos","","","","",""
"195","641","Vindrossel","Turdus iliacus","1984-10-15","Vaserne, Nordsj.,S","","",""
"195","642","Misteldrossel","Turdus viscivorus","1985-09-29","Rude skov, Nordsj.","","",""
"195","651","Græshoppesanger","Locustella naevia","1987-05-16","Gilbjerg Hoved, Nordsj., S","","",""
"195","652","Flodsanger","Locustella fluviatilis","1993-05-01","Ørholm, nordsj.","","",""
"195","653","Savisanger","Locustella luscinioides","1989-05-18","Selbjerg Vejle, Han herred","","",""
"195","657","Sivsanger","Acrocephalus schoenobaenus","1986-06-26","Rådvad, S","","",""
"195","659","Buskrørsanger","Acrocephalus dumetorum","2012-06-15","Vestvolden, Brøndby","55.636179","12.429511","http://maps.google.co.uk/maps?q=loc:55.636179, 12.429511(Buskrørsanger)&z=7&iwloc=A"
"195","661","Kærsanger","Acrocephalus palustris","1986-05-22","Vaserne, Nordsj.,S","","",""
"195","662","Rørsanger","Acrocephalus scirpaceus","","","","",""
"195","664","Drosselrørsanger","Acrocephalus arundinaceus","","","","",""
"195","671","Gulbug","Hippolais icterina","1984-05-18","Kalvehave strand, Sydsj.","","",""
"195","686","Gærdesanger","Sylvia curruca","","","","",""
"195","687","Tornsanger","Sylvia communis","","","","",""
"195","688","Havesanger","Sylvia borin","","","","",""
"195","689","Munk","Sylvia atricapilla","","","","",""
"195","690","Lundsanger","Phylloscopus trochiloides","","","","",""
"195","693","Hvidbrynet Løvsanger","Phylloscopus inornatus","2012-10-15","Mandø","","",""
"195","699","Skovsanger","Phylloscopus sibilatrix","","","","",""
"195","701","Gransanger","Phylloscopus collybita","","","","",""
"195","705","Løvsanger","Phylloscopus trochilus","","","","",""
"195","707","Fuglekonge","Regulus regulus","","","","",""
"195","708","Rødtoppet Fuglekonge","Regulus ignicapilla","2002-04-21","Bøtøskoven, Falster","","",""
"195","710","Grå Fluesnapper","Muscicapa striata","1987-05-20","Tryggelev Nor, Langeland","","",""
"195","711","Lille Fluesnapper","Ficedula parva","2000-09-23","Blåvandshuk, ringmærker","","",""
"195","714","Broget Fluesnapper","Ficedula hypoleuca","","","","",""
"195","715","Skægmejse","Panurus biarmicus","1989-04-10","Selbjerg Vejle, Han herred","","",""
"195","720","Halemejse","Aegithalos caudatus","","","","",""
"195","727","Blåmejse","Cyanistes caeruleus","","","","",""
"195","729","Musvit","Parus major","","","","",""
"195","725","Topmejse","Lophophanes cristatus","","","","",""
"195","726","Sortmejse","Periparus ater","","","","",""
"195","721","Sumpmejse","Poecile palustris","","","","",""
"195","723","Fyrremejse","Poecile montanus","2012-10-14","Hjerpsted, Sønderjylland","","",""
"195","734","Spætmejse","Sitta europaea","","","","",""
"195","738","Træløber","Certhia familiaris","","","","",""
"195","739","Korttået Træløber","Certhia brachydactyla","","","","",""
"195","740","Pungmejse","Remiz pendulinus","1989-04-15","Kogleaks, Bygholm, NJ","","",""
"195","744","Pirol","Oriolus oriolus","1985-05-27","Læsvig, v. Arup vejle,Thy","","",""
"195","748","Rødrygget Tornskade","Lanius collurio","","","","",""
"195","751","Stor Tornskade","Lanius excubitor","1984-12-09","Vaserne, Nordsj., S","","",""
"195","756","Skovskade","Garrulus glandarius","","","","",""
"195","759","Husskade","Pica pica","","","","",""
"195","760","Nøddekrige","Nucifraga caryocatactes","1985-09-29","Rude skov, nordsj.,S","","",""
"195","763","Allike","Corvus monedula","","","","",""
"195","766","Råge","Corvus frugilegus","","","","",""
"195","914","Sortkrage","Corvus corone","","","","",""
"195","767","Gråkrage","Corvus cornix","","","","",""
"195","770","Ravn","Corvus corax","1985-10-06","Jægerspris Nordskov, S","","",""
"195","774","Stær","Sturnus vulgaris","","","","",""
"195","778","Gråspurv","Passer domesticus","","","","",""
"195","783","Skovspurv","Passer montanus","","","","",""
"195","798","Bogfinke","Fringilla coelebs","","","","",""
"195","800","Kvækerfinke","Fringilla montifringilla","","","","",""
"195","802","Gulirisk","Serinus serinus","2008-05-24","Grenen, Skagen","","",""
"195","807","Grønirisk","Chloris chloris","","","","",""
"195","808","Stillits","Carduelis carduelis","","","","",""
"195","809","Grønsisken","Spinus spinus","","","","",""
"195","810","Tornirisk","Linaria cannabina","","","","",""
"195","811","Bjergirisk","Linaria flavirostris","1985-12-29","Jægerspris Nordskov, S","","",""
"195","812","Lille Gråsisken","Acanthis cabaret","","","","",""
"195","813","Stor Gråsisken","Acanthis flammea","1985-10-27","Jægerspris Nordskov, S","","",""
"195","814","Hvidsisken","Acanthis hornemanni","2002-02-13","Tamosen v. Susåen /Tystrup sø","","",""
"195","815","Hvidvinget Korsnæb","Loxia leucoptera","2011-11-05","Gribskov, Nordsjælland","","",""
"195","816","Lille Korsnæb","Loxia curvirostra","1985-10-06","Jægerspris Nordskov, S","","",""
"195","818","Stor Korsnæb","Loxia pytyopsittacus","1985-11-02","Kalvehave (6 stk)","","",""
"195","823","Karmindompap","Carpodacus erythrinus","1987-05-23","Jydelejet, Møns klint","","",""
"195","828","Dompap","Pyrrhula pyrrhula","","","","",""
"195","829","Kernebider","Coccothraustes coccothraustes","","","","",""
"195","865","Lapværling","Calcarius lapponicus","1989-04-14","Arup, Thy","","",""
"195","866","Snespurv","Plectrophenax nivalis","1986-12-02","Bolund, Roskilde fj., S","","",""
"195","869","Gulspurv","Emberiza citrinella","","","","",""
"195","878","Pileværling","Emberiza rustica","1998-03-22","Hellebæk, Nordsj., S","","",""
"195","879","Dværgværling","Emberiza pusilla","2014-11-24","Sydhavnstippen, Kbh S","55.632211","12.531581","http://maps.google.co.uk/maps?q=loc:55.632211, 12.531581(Dværgværling)&z=7&iwloc=A"
"195","882","Rørspurv","Emberiza schoeniclus","","","","",""
"195","886","Bomlærke","Emberiza calandra","","","","",""
