"profile id","species id","bird name","latin bird name","date","location","latitude","longitude","map"
"1623","767","Gråkrage","Corvus cornix","","","","",""
"1623","770","Ravn","Corvus corax","2003-04-17","Solbjerg Engsø","","",""
"1623","774","Stær","Sturnus vulgaris","2003-04-17","Solbjerg Engsø","","",""
"1623","776","Rosenstær","Pastor roseus","2014-10-11","Grønningen, Blåvand","","",""
"1623","778","Gråspurv","Passer domesticus","","","","",""
"1623","783","Skovspurv","Passer montanus","2003-03-16","Holmene","","",""
"1623","797","Rødøjet Vireo","Vireo olivaceus","2011-10-19","Mandø","","",""
"1623","798","Bogfinke","Fringilla coelebs","","","","",""
"1623","800","Kvækerfinke","Fringilla montifringilla","2003-02-12","Store Dyrehave","","",""
"1623","802","Gulirisk","Serinus serinus","2011-04-15","Gilbjerg Hoved","","",""
"1623","807","Grønirisk","Chloris chloris","","","","",""
"1623","808","Stillits","Carduelis carduelis","","Banestien","","",""
"1623","809","Grønsisken","Spinus spinus","2003-09-28","Vestskoven","","",""
"1623","810","Tornirisk","Linaria cannabina","2003-07-01","Hjarnø","","",""
"1623","811","Bjergirisk","Linaria flavirostris","2006-10-17","Nordstrand, Anholt","","",""
"1623","812","Lille Gråsisken","Acanthis cabaret","2005-06-18","Bulbjerghus","","",""
"1623","813","Stor Gråsisken","Acanthis flammea","2006-01-01","Teglgårdssøen","","",""
"1623","814","Hvidsisken","Acanthis hornemanni","2011-01-04","Kronborg","","",""
"1623","815","Hvidvinget Korsnæb","Loxia leucoptera","2011-08-09","Gribskov","","",""
"1623","816","Lille Korsnæb","Loxia curvirostra","2005-06-18","Bulbjerghus","","",""
"1623","818","Stor Korsnæb","Loxia pytyopsittacus","2008-11-22","Melby Overdrev","","",""
"1623","823","Karmindompap","Carpodacus erythrinus","2005-06-21","Hanstholm Fyrhaver","","",""
"1623","828","Dompap","Pyrrhula pyrrhula","2003-02-10","Teglgårdssøen","","",""
"1623","829","Kernebider","Coccothraustes coccothraustes","2005-01-16","Mølleåen","","",""
"1623","865","Lapværling","Calcarius lapponicus","2006-10-16","Anholt Flyveplads","","",""
"1623","866","Snespurv","Plectrophenax nivalis","2007-11-03","Ølsemagle Revle","","",""
"1623","869","Gulspurv","Emberiza citrinella","2003-04-17","Solbjerg Engsø","","",""
"1623","874","Hortulan","Emberiza hortulana","2011-05-07","Gilbjerg Hoved","","",""
"1623","879","Dværgværling","Emberiza pusilla","2014-12-08","Sydhavnstippen","","",""
"1623","882","Rørspurv","Emberiza schoeniclus","2003-04-17","Solbjerg Engsø","","",""
"1623","886","Bomlærke","Emberiza calandra","2005-06-18","Vejlerne","","",""
