"profile id","species id","bird name","latin bird name","date","country id","country","location","latitude","longitude","map"
"195","760","Spotted Nutcracker","Nucifraga caryocatactes","","","","","","",""
"195","761","Alpine Chough","Pyrrhocorax graculus","","","","","","",""
"195","762","Red-billed Chough","Pyrrhocorax pyrrhocorax","","","","","","",""
"195","763","Western Jackdaw","Corvus monedula","","","","","","",""
"195","766","Rook","Corvus frugilegus","","","","","","",""
"195","914","Carrion Crow","Corvus corone","","","","","","",""
"195","767","Hooded Crow","Corvus cornix","","","","","","",""
"195","770","Northern Raven","Corvus corax","","","","","","",""
"195","775","Spotless Starling","Sturnus unicolor","","","","","","",""
"195","774","Common Starling","Sturnus vulgaris","","","","","","",""
"195","776","Rosy Starling","Pastor roseus","","","","","","",""
"195","778","House Sparrow","Passer domesticus","","","","","","",""
"195","779","Spanish Sparrow","Passer hispaniolensis","","","","","","",""
"195","783","Eurasian Tree Sparrow","Passer montanus","","","","","","",""
"195","787","Rock Sparrow","Petronia petronia","","","","","","",""
"195","788","White-winged Snowfinch","Montifringilla nivalis","","","","","","",""
"195","798","Common Chaffinch","Fringilla coelebs","","","","","","",""
"195","800","Brambling","Fringilla montifringilla","","","","","","",""
"195","802","European Serin","Serinus serinus","","","","","","",""
"195","805","Citril Finch","Carduelis citrinella","","","","","","",""
"195","807","European Greenfinch","Chloris chloris","","","","","","",""
"195","808","European Goldfinch","Carduelis carduelis","","","","","","",""
"195","809","Eurasian Siskin","Spinus spinus","","","","","","",""
"195","810","Common Linnet","Linaria cannabina","","","","","","",""
"195","811","Twite","Linaria flavirostris","","","","","","",""
"195","812","Lesser Redpoll","Acanthis cabaret","","","","","","",""
"195","813","Common Redpoll","Acanthis flammea","","","","","","",""
"195","814","Arctic Redpoll","Acanthis hornemanni","","","","","","",""
"195","815","Two-barred Crossbill","Loxia leucoptera","","","","","","",""
"195","816","Red Crossbill","Loxia curvirostra","","","","","","",""
"195","818","Parrot Crossbill","Loxia pytyopsittacus","","","","","","",""
"195","823","Common Rosefinch","Carpodacus erythrinus","","","","","","",""
"195","828","Eurasian Bullfinch","Pyrrhula pyrrhula","","","","","","",""
"195","829","Hawfinch","Coccothraustes coccothraustes","","","","","","",""
"195","865","Lapland Longspur","Calcarius lapponicus","","","","","","",""
"195","866","Snow Bunting","Plectrophenax nivalis","","","","","","",""
"195","869","Yellowhammer","Emberiza citrinella","","","","","","",""
"195","870","Cirl Bunting","Emberiza cirlus","","","","","","",""
"195","871","Rock Bunting","Emberiza cia","","","","","","",""
"195","874","Ortolan Bunting","Emberiza hortulana","","","","","","",""
"195","878","Rustic Bunting","Emberiza rustica","","","","","","",""
"195","879","Little Bunting","Emberiza pusilla","","","","","","",""
"195","882","Common Reed Bunting","Emberiza schoeniclus","","","","","","",""
"195","885","Black-headed Bunting","Emberiza melanocephala","","","","","","",""
"195","886","Corn Bunting","Emberiza calandra","","","","","","",""
