"profileId","speciesId","birdName","latinBirdName","recDate","location","latitude","longitude","recMap"
"4347","701","Gransanger","Phylloscopus collybita","","","","",""
"4347","705","Løvsanger","Phylloscopus trochilus","","","","",""
"4347","707","Fuglekonge","Regulus regulus","","","","",""
"4347","708","Rødtoppet Fuglekonge","Regulus ignicapilla","","","","",""
"4347","710","Grå Fluesnapper","Muscicapa striata","","","","",""
"4347","711","Lille Fluesnapper","Ficedula parva","","","","",""
"4347","713","Hvidhalset Fluesnapper","Ficedula albicollis","2017-05-05","Bispebjerg Kirkegård","","",""
"4347","714","Broget Fluesnapper","Ficedula hypoleuca","","","","",""
"4347","715","Skægmejse","Panurus biarmicus","","","","",""
"4347","720","Halemejse","Aegithalos caudatus","","","","",""
"4347","727","Blåmejse","Cyanistes caeruleus","","","","",""
"4347","729","Musvit","Parus major","","","","",""
"4347","725","Topmejse","Lophophanes cristatus","","","","",""
"4347","726","Sortmejse","Periparus ater","","","","",""
"4347","721","Sumpmejse","Poecile palustris","","","","",""
"4347","723","Fyrremejse","Poecile montanus","","","","",""
"4347","734","Spætmejse","Sitta europaea","","","","",""
"4347","738","Træløber","Certhia familiaris","","","","",""
"4347","739","Korttået Træløber","Certhia brachydactyla","","","","",""
"4347","740","Pungmejse","Remiz pendulinus","","","","",""
"4347","744","Pirol","Oriolus oriolus","2017-05-21","Grenen","","",""
"4347","748","Rødrygget Tornskade","Lanius collurio","2015-05-14","Flagbakken","","",""
"4347","751","Stor Tornskade","Lanius excubitor","","","","",""
"4347","756","Skovskade","Garrulus glandarius","","","","",""
"4347","759","Husskade","Pica pica","","","","",""
"4347","760","Nøddekrige","Nucifraga caryocatactes","2017-02-18","Kalundborg Klosterskov","","",""
"4347","763","Allike","Corvus monedula","","","","",""
"4347","766","Råge","Corvus frugilegus","","","","",""
"4347","914","Sortkrage","Corvus corone","","","","",""
"4347","767","Gråkrage","Corvus cornix","","","","",""
"4347","770","Ravn","Corvus corax","","","","",""
"4347","774","Stær","Sturnus vulgaris","","","","",""
"4347","776","Rosenstær","Pastor roseus","","","","",""
"4347","778","Gråspurv","Passer domesticus","","","","",""
"4347","783","Skovspurv","Passer montanus","","","","",""
"4347","798","Bogfinke","Fringilla coelebs","","","","",""
"4347","800","Kvækerfinke","Fringilla montifringilla","","","","",""
"4347","802","Gulirisk","Serinus serinus","","","","",""
"4347","807","Grønirisk","Chloris chloris","","","","",""
"4347","808","Stillits","Carduelis carduelis","","","","",""
"4347","809","Grønsisken","Spinus spinus","","","","",""
"4347","810","Tornirisk","Linaria cannabina","","","","",""
"4347","811","Bjergirisk","Linaria flavirostris","","","","",""
"4347","812","Lille Gråsisken","Acanthis cabaret","","","","",""
"4347","813","Stor Gråsisken","Acanthis flammea","","","","",""
"4347","814","Hvidsisken","Acanthis hornemanni","2018-02-25","Naturcenter Amager","","",""
"4347","815","Hvidvinget Korsnæb","Loxia leucoptera","","","55.984411","12.299709","http://maps.google.co.uk/maps?q=loc:55.984411, 12.299709(Hvidvinget Korsnæb)&z=7&iwloc=A"
"4347","816","Lille Korsnæb","Loxia curvirostra","","","","",""
"4347","818","Stor Korsnæb","Loxia pytyopsittacus","","","","",""
"4347","823","Karmindompap","Carpodacus erythrinus","","","","",""
"4347","828","Dompap","Pyrrhula pyrrhula","","","","",""
"4347","829","Kernebider","Coccothraustes coccothraustes","","","","",""
"4347","865","Lapværling","Calcarius lapponicus","","","","",""
"4347","866","Snespurv","Plectrophenax nivalis","","","","",""
"4347","869","Gulspurv","Emberiza citrinella","","","","",""
"4347","882","Rørspurv","Emberiza schoeniclus","","","","",""
"4347","886","Bomlærke","Emberiza calandra","","","","",""
