"profileId","speciesId","birdName","latinBirdName","recDate","countryId","country","location","latitude","longitude","recMap"
"1623","332","Langnæbbet Sneppeklire","Limnodromus scolopaceus","2017-07-21","1","Danmark","Saltvandssøen","","",""
"1623","333","Skovsneppe","Scolopax rusticola","2005-05-28","1","Danmark","Grib Skov","","",""
"1623","334","Stor Kobbersneppe","Limosa limosa","2005-06-19","1","Danmark","Krap-tårnet, Vejlerne","","",""
"1623","336","Lille Kobbersneppe","Limosa lapponica","2005-06-21","1","Danmark","Agger Tange","","",""
"1623","339","Småspove","Numenius phaeopus","2006-08-06","1","Danmark","Sønderho Strand","","",""
"1623","341","Storspove","Numenius arquata","2005-06-19","1","Danmark","Bygholm-dæmningen, Vejlerne","","",""
"1623","352","Terekklire","Xenus cinereus","2006-05-25","1","Danmark","Kammerslusen","","",""
"1623","353","Mudderklire","Actitis hypoleucos","2003-04-17","1","Danmark","Solbjerg Engsø","55.994812","12.249481","http://maps.google.co.uk/maps?q=loc:55.994812, 12.249481(Mudderklire)&z=7&iwloc=A"
"1623","350","Svaleklire","Tringa ochropus","2004-08-15","1","Danmark","Vestamager","","",""
"1623","343","Sortklire","Tringa erythropus","2005-06-19","1","Danmark","Kraptårnet, Vejlerne","","",""
"1623","346","Hvidklire","Tringa nebularia","2005-06-19","1","Danmark","Kraptårnet, Vejlerne","","",""
"1623","345","Damklire","Tringa stagnatilis","2005-06-21","1","Danmark","Feggesund","","",""
"1623","351","Tinksmed","Tringa glareola","2004-08-15","1","Danmark","Vestamager","","",""
"1623","344","Rødben","Tringa totanus","2003-04-17","1","Danmark","Solbjerg Engsø","55.994812","12.249481","http://maps.google.co.uk/maps?q=loc:55.994812, 12.249481(Rødben)&z=7&iwloc=A"
"1623","357","Stenvender","Arenaria interpres","2005-06-21","1","Danmark","Agger Tange","","",""
"1623","359","Odinshane","Phalaropus lobatus","2011-08-05","1","Danmark","Sneum Digesø","","",""
"1623","360","Thorshane","Phalaropus fulicarius","2007-09-20","1","Danmark","Helsingør Lystbådehavn","56.041701","12.612934","http://maps.google.co.uk/maps?q=loc:56.041701, 12.612934(Thorshane)&z=7&iwloc=A"
"1623","361","Mellemkjove","Stercorarius pomarinus","2007-10-14","1","Danmark","Gedser Odde","","",""
"1623","362","Almindelig Kjove","Stercorarius parasiticus","2005-06-22","1","Danmark","Lild Strand","","",""
"1623","363","Lille Kjove","Stercorarius longicaudus","2011-10-12","1","Danmark","Børstrup Hage","","",""
"1623","364","Storkjove","Stercorarius skua","2006-05-25","1","Danmark","Sneum Forland","","",""
"1623","373","Sabinemåge","Xema sabini","2007-09-08","1","Danmark","Blåvands Huk","","",""
"1623","390","Ride","Rissa tridactyla","2005-06-20","1","Danmark","Bulbjerg","","",""
"1623","374","Bonapartemåge","Chroicocephalus philadelphia","2012-08-04","1","Danmark","Blåvands Huk","","",""
"1623","375","Hættemåge","Chroicocephalus ridibundus","","1","Danmark","","","",""
"1623","372","Dværgmåge","Hydrocoloeus minutus","2005-06-18","1","Danmark","Kogelaks, Vejlerne","","",""
"1623","369","Sorthovedet Måge","Ichthyaetus melanocephalus","2007-04-15","1","Danmark","Holmesø","","",""
"1623","379","Audouinsmåge","Ichthyaetus audouinii","2009-10-01","34","Frankrig","Porto, Korsika","","",""
"1623","381","Stormmåge","Larus canus","2003-01-01","1","Danmark","Gribskovbanen","","",""
"1623","382","Sildemåge","Larus fuscus","2003-01-01","1","Danmark","Gilleleje","","",""
"1623","383","Sølvmåge","Larus argentatus","2003-01-01","1","Danmark","Hillerød Vandrensningsanlæg","","",""
"1623","981","Middelhavssølvmåge","Larus michahellis","2007-07-19","25","Schweiz","Locarno","","",""
"1623","980","Kaspisk Måge","Larus cachinnans","2013-12-11","1","Danmark","Vedbæk Havn","","",""
"1623","384","Hvidvinget Måge","Larus glaucoides","2009-05-08","1","Danmark","Skagen Havn","","",""
"1623","385","Gråmåge","Larus hyperboreus","2007-05-17","1","Danmark","Christiansø","","",""
"1623","386","Svartbag","Larus marinus","2003-04-17","1","Danmark","Solbjerg Engsø","55.994812","12.249481","http://maps.google.co.uk/maps?q=loc:55.994812, 12.249481(Svartbag)&z=7&iwloc=A"
"1623","407","Dværgterne","Sternula albifrons","2005-06-21","1","Danmark","Agger Tange","","",""
"1623","392","Sandterne","Gelochelidon nilotica","2013-08-04","1","Danmark","Filsø","","",""
"1623","393","Rovterne","Hydroprogne caspia","2009-07-26","1","Danmark","Ølsemagle Revle","","",""
"1623","409","Hvidskægget Terne","Chlidonias hybrida","2008-07-10","39","Polen","Brzostowo, Biebrza","","",""
"1623","410","Sortterne","Chlidonias niger","2005-06-18","1","Danmark","Kogleaks, Vejlerne","","",""
"1623","411","Hvidvinget Terne","Chlidonias leucopterus","2008-07-10","39","Polen","Wizna, Biebrza","","",""
"1623","397","Splitterne","Thalasseus sandvicensis","2003-01-01","1","Danmark","Gilleleje","","",""
"1623","400","Fjordterne","Sterna hirundo","2003-06-14","1","Danmark","Vaserne","","",""
"1623","401","Havterne","Sterna paradisaea","2003-07-01","1","Danmark","Hjarnø","","",""
"1623","414","Lomvie","Uria aalge","2005-12-28","1","Danmark","Tisvilde Strand","","",""
"1623","416","Alk","Alca torda","2006-10-14","1","Danmark","Overfart mellem Grenaa og Anholt, Kattegat","","",""
"1623","418","Tejst","Cepphus grylle","2006-10-19","1","Danmark","Overfart mellem Grenaa og Anholt, Kattegat","","",""
"1623","420","Søkonge","Alle alle","2006-11-04","1","Danmark","Plankeværket, Nordkysten","","",""
"1623","432","Klippedue","Columba livia","","1","Danmark","","","",""
"1623","433","Huldue","Columba oenas","2006-10-14","1","Danmark","Nordbjerg, Anholt","","",""
"1623","435","Ringdue","Columba palumbus","","1","Danmark","","","",""
"1623","440","Tyrkerdue","Streptopelia decaocto","","1","Danmark","Holmene","","",""
"1623","441","Turteldue","Streptopelia turtur","2012-09-29","1","Danmark","Mandø","","",""
"1623","446","Munkeparakit","Myiopsitta monachus","2018-03-10","8","Spanien","Malaga","","",""
"1623","447","Alexanderparakit","Psittacula krameri","2008-03-18","36","Tyskland","Köln","","",""
"1623","451","Gøg","Cuculus canorus","2003-01-01","1","Danmark","Langeskov, Fyn","","",""
"1623","456","Slørugle","Tyto alba","2017-07-27","1","Danmark","Den Hemmelige Lade, Filsø","","",""
"1623","459","Stor Hornugle","Bubo bubo","2014-05-29","1","Danmark","Kongerslev Kalbrud","","",""
"1623","462","Høgeugle","Surnia ulula","2006-01-15","1","Danmark","Grib Skov","","",""
"1623","464","Kirkeugle","Athene noctua","2006-05-25","1","Danmark","Føvling","","",""
"1623","465","Natugle","Strix aluco","2005-05-28","1","Danmark","Grib Skov","","",""
"1623","469","Skovhornugle","Asio otus","2007-07-04","1","Danmark","Tryggevælde Ådal","","",""
"1623","470","Mosehornugle","Asio flammeus","2007-03-31","1","Danmark","Gilbjerg Hoved","56.126449","12.270794","http://maps.google.co.uk/maps?q=loc:56.126449, 12.270794(Mosehornugle)&z=7&iwloc=A"
"1623","474","Natravn","Caprimulgus europaeus","2005-06-19","1","Danmark","Vejlerne","","",""
"1623","482","Mursejler","Apus apus","2003-05-10","1","Danmark","Holmene","","",""
"1623","483","Gråsejler","Apus pallidus","2018-03-10","8","Spanien","Malaga","","",""
"1623","485","Alpesejler","Tachymarptis melba","2007-07-13","25","Schweiz","Basel","","",""
"1623","491","Isfugl","Alcedo atthis","2004-01-01","1","Danmark","Strødam Engsø","","",""
"1623","496","Biæder","Merops apiaster","2008-07-09","39","Polen","Tykocin","","",""
"1623","498","Ellekrage","Coracias garrulus","2011-06-02","1","Danmark","Birkemose, Gedser","","",""
"1623","502","Hærfugl","Upupa epops","2008-07-09","39","Polen","Zajki","","",""
"1623","503","Vendehals","Jynx torquilla","2008-05-02","1","Danmark","Frederiksø","","",""
"1623","506","Grønspætte","Picus viridis","2007-07-19","25","Schweiz","Locarno","","",""
"1623","508","Sortspætte","Dryocopus martius","2003-07-05","9","Sverige","Lönneberga","","",""
"1623","510","Stor Flagspætte","Dendrocopos major","","1","Danmark","","","",""
